DFIRM_ID,VERSION_ID,FLD_AR_ID,STUDY_TYP,FLD_ZONE,ZONE_SUBTY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,AR_SUBTRV,BFE_REVERT,DEP_REVERT,DUAL_ZONE,SOURCE_CIT,Fl_status,Status
12103C,1.1.1.0,12103C_4879,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,0,0
12103C,1.1.1.0,12103C_4880,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,0,0
12103C,1.1.1.0,12103C_4881,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY1,0,0
12103C,2.4.3.2,12103C_3165,SFHAs WITH HIGH FLOOD RISK,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD IN COASTAL ZONE,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3166,SFHAs WITH HIGH FLOOD RISK,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD IN COASTAL ZONE,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3167,SFHAs WITH HIGH FLOOD RISK,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD IN COASTAL ZONE,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3168,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3169,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3170,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3171,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3172,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3173,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3174,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
12103C,2.4.3.2,12103C_3175,NP,X,AREA OF MINIMAL FLOOD HAZARD,F,-9999.000000000000000, ,-9999.000000000000000, ,-9999.000000000000000, , , ,-9999.000000000000000,-9999.000000000000000, ,12103C_STUDY2,0,0
