GEOID_JOIN,LAT,LON,POPULATION,WEIGHTED_DEMAND,TIER_LABEL,MULTIPLIER,METHOD,ASSIGNED_SID,ASSIGNED_NAME,TRAVEL_TIME_MIN
1.2103E+11,27.983359,-82.798442,1055,896.75,AE Coastal Floodplain,0.85,PuLP_CBC,14,Skycrest Elementary,5.281294691620847
1.2103E+11,27.7744469,-82.6516521,525,26.25,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,4.150950402673013
1.2103E+11,27.8472568,-82.6365252,636,540.6,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,8.35007858903428
1.2103E+11,28.0257441,-82.8153575,1087,923.95,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,6.678704016980125
1.2103E+11,28.0304639,-82.7805498,2190,1861.5,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,7.1417519865622445
1.2103E+11,28.0864617,-82.7428138,2103,420.6,X Shaded — 500-yr,0.2,PuLP_CBC,1,Palm Harbor Middle,3.390036272986245
1.2103E+11,28.08744,-82.7534608,2964,592.8,X Shaded — 500-yr,0.2,PuLP_CBC,1,Palm Harbor Middle,2.657111064296541
1.2103E+11,28.0534787,-82.7504621,2046,409.2,X Shaded — 500-yr,0.2,PuLP_CBC,1,Palm Harbor Middle,2.07316468250142
1.2103E+11,28.0608244,-82.7603878,2054,410.8,X Shaded — 500-yr,0.2,PuLP_CBC,1,Palm Harbor Middle,1.858920187148187
1.2103E+11,27.744894,-82.7589512,984,984.0,VE/V — Coastal High Hazard,1.0,PuLP_CBC,8,Sanderlin K-8,10.620904327927832
1.2103E+11,27.7279058,-82.688172,1818,1545.3,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,3.939812311738836
1.2103E+11,27.7649197,-82.725839,1089,925.65,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,6.961190824402402
1.2103E+11,27.9019165,-82.7165845,2340,1989.0,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,9.790795327597328
1.2103E+11,27.8171914,-82.6934091,1357,1085.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,2.093328995808532
1.2103E+11,27.9137142,-82.758295,1760,352.0,X Shaded — 500-yr,0.2,PuLP_CBC,17,Mildred Helms Elementary,4.158066575420756
1.2103E+11,27.9556611,-82.8301683,1013,861.05,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,9.412432125993131
1.2103E+11,27.8112852,-82.7163302,1139,911.2,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,3.014682302603293
1.2103E+11,28.0519865,-82.7856387,1362,1157.7,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,4.461700056244855
1.2103E+11,27.7175591,-82.6525742,1111,944.35,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,5.564273752954308
1.2103E+11,27.9198196,-82.7801991,1536,1305.6,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,2.0285490680532745
1.2103E+11,28.1534469,-82.7474336,1194,1194.0,AE Floodway,1.0,PuLP_CBC,1,Palm Harbor Middle,11.394592979224084
1.2103E+11,27.8533034,-82.7731907,2557,2173.45,AE Coastal Floodplain,0.85,PuLP_CBC,17,Mildred Helms Elementary,8.440306970759542
1.2103E+11,27.8750722,-82.8076531,2130,426.0,X Shaded — 500-yr,0.2,PuLP_CBC,17,Mildred Helms Elementary,4.67730577079031
1.2103E+11,27.7082186,-82.7134301,506,430.1,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,8.348458210206893
1.2103E+11,27.7090796,-82.7017464,873,742.05,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,6.760392621932709
1.2103E+11,27.7171825,-82.702791,870,739.5,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,6.61935297876384
1.2103E+11,27.7159701,-82.6730623,2124,1805.4,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,4.409660460289397
1.2103E+11,27.7156031,-82.6651862,2471,2100.35,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,4.971710209594826
1.2103E+11,27.6768779,-82.67788,1820,1547.0,AE Coastal Floodplain,0.85,PuLP_CBC,14,Skycrest Elementary,93.79793948771076
1.2103E+11,27.7137205,-82.6593436,1545,77.25,X Unshaded / Minimal,0.05,PuLP_CBC,8,Sanderlin K-8,5.707489765710212
1.2103E+11,27.7023367,-82.6503537,912,775.2,AE Coastal Floodplain,0.85,PuLP_CBC,8,Sanderlin K-8,7.125582716153824
1.2103E+11,28.0649796,-82.7689839,1276,1084.6,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,1.8938930718260287
1.2103E+11,28.0758668,-82.7128383,1711,1368.8,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,4.592842775247214
1.2103E+11,27.9356651,-82.7924687,297,237.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,17,Mildred Helms Elementary,2.7749225350698685
1.2103E+11,27.9927107,-82.7383092,1763,1410.4,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,14,Skycrest Elementary,4.505030550918309
1.2103E+11,28.0620871,-82.7171708,2107,1685.6,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,1,Palm Harbor Middle,3.825695184753608
1.2103E+11,27.8167369,-82.63255,786,668.1,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,6.742490104170918
1.2103E+11,27.8148258,-82.5917843,894,759.9,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,11.105428313100855
1.2103E+11,27.8667654,-82.6411417,2530,2150.5,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,8.712117520779916
1.2103E+11,27.8866924,-82.6408638,1603,1362.55,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,11.068594599047554
1.2103E+11,27.847167,-82.6428435,2188,1859.8,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,7.741777412409119
1.2103E+11,27.8592475,-82.6439245,1758,1494.3,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,7.918655609681284
1.2103E+11,27.8668383,-82.6608153,755,604.0,AE/A — 100-yr Floodplain,0.8,PuLP_CBC,16,Lealman Exchange,7.446441151619693
1.2103E+11,27.8798582,-82.6527966,3102,2636.7,AE Coastal Floodplain,0.85,PuLP_CBC,16,Lealman Exchange,10.3020419444472
1.2103E+11,28.0880335,-82.715323,944,188.8,X Shaded — 500-yr,0.2,PuLP_CBC,1,Palm Harbor Middle,4.932943287501136
1.2103E+11,28.0595261,-82.7338511,2233,446.6,X Shaded — 500-yr,0.2,PuLP_CBC,1,Palm Harbor Middle,2.612362774190652
1.2103E+11,28.0520185,-82.7143902,2260,1921.0,AE Coastal Floodplain,0.85,PuLP_CBC,1,Palm Harbor Middle,5.68781295054333
